Year,Age category,Single Year of Age,Sex category,Sex,UNIT,VALUE
1997,063,63 years,2,Female,Number,13582
1997,064,64 years,-,Both sexes,Number,26929
1997,064,64 years,1,Male,Number,13307
1997,064,64 years,2,Female,Number,13622
1997,065,65 years,-,Both sexes,Number,26114
1997,065,65 years,1,Male,Number,12874
1997,065,65 years,2,Female,Number,13240
1997,066,66 years,-,Both sexes,Number,26134
1997,066,66 years,1,Male,Number,12756
1997,066,66 years,2,Female,Number,13378
1997,067,67 years,-,Both sexes,Number,25906
1997,067,67 years,1,Male,Number,12535
1997,067,67 years,2,Female,Number,13371
1997,068,68 years,-,Both sexes,Number,24749
1997,068,68 years,1,Male,Number,11745
1997,068,68 years,2,Female,Number,13004
1997,069,69 years,-,Both sexes,Number,23820
1997,069,69 years,1,Male,Number,10963
1997,069,69 years,2,Female,Number,12857
1997,070,70 years,-,Both sexes,Number,23966
1997,070,70 years,1,Male,Number,10907
1997,070,70 years,2,Female,Number,13059
1997,071,71 years,-,Both sexes,Number,23208
1997,071,71 years,1,Male,Number,10431
1997,071,71 years,2,Female,Number,12777
1997,072,72 years,-,Both sexes,Number,22599
1997,072,72 years,1,Male,Number,10061
1997,072,72 years,2,Female,Number,12538
1997,073,73 years,-,Both sexes,Number,21715
1997,073,73 years,1,Male,Number,9617
1997,073,73 years,2,Female,Number,12098
1997,074,74 years,-,Both sexes,Number,21342
1997,074,74 years,1,Male,Number,9215
1997,074,74 years,2,Female,Number,12127
1997,075,75 years,-,Both sexes,Number,19494
1997,075,75 years,1,Male,Number,8413
1997,075,75 years,2,Female,Number,11081
1997,076,76 years,-,Both sexes,Number,19071
1997,076,76 years,1,Male,Number,8099
1997,076,76 years,2,Female,Number,10972
1997,077,77 years,-,Both sexes,Number,17756
1997,077,77 years,1,Male,Number,7401
1997,077,77 years,2,Female,Number,10355
1997,078,78 years,-,Both sexes,Number,15578
1997,078,78 years,1,Male,Number,6381
1997,078,78 years,2,Female,Number,9197
1997,079,79 years,-,Both sexes,Number,13123
1997,079,79 years,1,Male,Number,5336
1997,079,79 years,2,Female,Number,7787
1997,080,80 years,-,Both sexes,Number,13432
1997,080,80 years,1,Male,Number,5277
1997,080,80 years,2,Female,Number,8155
1997,081,81 years,-,Both sexes,Number,12036
1997,081,81 years,1,Male,Number,4709
1997,081,81 years,2,Female,Number,7327
1997,082,82 years,-,Both sexes,Number,11362
1997,082,82 years,1,Male,Number,4183
1997,082,82 years,2,Female,Number,7179
1997,083,83 years,-,Both sexes,Number,9992
1997,083,83 years,1,Male,Number,3537
1997,083,83 years,2,Female,Number,6455
1997,084,84 years,-,Both sexes,Number,9014
1997,084,84 years,1,Male,Number,3190
1997,084,84 years,2,Female,Number,5824
1997,085,85 years,-,Both sexes,Number,7640
1997,085,85 years,1,Male,Number,2757
1997,085,85 years,2,Female,Number,4883
1997,086,86 years,-,Both sexes,Number,6350
1997,086,86 years,1,Male,Number,2095
1997,086,86 years,2,Female,Number,4255
1997,087,87 years,-,Both sexes,Number,5251
1997,087,87 years,1,Male,Number,1687
1997,087,87 years,2,Female,Number,3564
1997,088,88 years,-,Both sexes,Number,3978
1997,088,88 years,1,Male,Number,1198
1997,088,88 years,2,Female,Number,2780
1997,089,89 years,-,Both sexes,Number,3113
1997,089,89 years,1,Male,Number,936
1997,089,89 years,2,Female,Number,2177
1997,090,90 years,-,Both sexes,Number,2527
1997,090,90 years,1,Male,Number,633
1997,090,90 years,2,Female,Number,1894
1997,091,91 years,-,Both sexes,Number,1990
1997,091,91 years,1,Male,Number,521
1997,091,91 years,2,Female,Number,1469
1997,092,92 years,-,Both sexes,Number,1462
1997,092,92 years,1,Male,Number,386
1997,092,92 years,2,Female,Number,1076
1997,093,93 years,-,Both sexes,Number,1053
1997,093,93 years,1,Male,Number,223
1997,093,93 years,2,Female,Number,830
1997,094,94 years,-,Both sexes,Number,870
1997,094,94 years,1,Male,Number,190
1997,094,94 years,2,Female,Number,680
1997,095,95 years,-,Both sexes,Number,529
1997,095,95 years,1,Male,Number,136
1997,095,95 years,2,Female,Number,393
1997,096,96 years,-,Both sexes,Number,409
1997,096,96 years,1,Male,Number,62
1997,096,96 years,2,Female,Number,347
1997,097,97 years,-,Both sexes,Number,206
1997,097,97 years,1,Male,Number,33
1997,097,97 years,2,Female,Number,173
1997,098,98 years,-,Both sexes,Number,155
1997,098,98 years,1,Male,Number,41
1997,098,98 years,2,Female,Number,114
1997,646,99 years and over,-,Both sexes,Number,312
1997,646,99 years and over,1,Male,Number,72
1997,646,99 years and over,2,Female,Number,240
