Year,Age Group,Sex,Population,Emigrants_All_Destinations,Immigrants_All_Origins,Net_Migration,Migration_Rate
2017,25 - 44 years,Female,717514,14700.0,24100.0,9400.000000000002,13.100789671002937
2017,25 - 44 years,Male,685742,16600.0,25100.0,8500.0,12.395332355317306
2017,45 - 64 years,Female,582965,900.0,5700.0,4800.0,8.233770466494558
2017,45 - 64 years,Male,574896,1900.0,5900.0,4000.0,6.957780189808244
2017,65 years and over,Female,347649,500.0,2300.0,1799.9999999999998,5.177636063961063
2017,65 years and over,Male,304759,700.0,2300.0,1599.9999999999998,5.250050039539438
2018,0 - 14 years,Female,495101,3000.0,5700.0,2700.0,5.453432733927016
2018,0 - 14 years,Male,519329,2200.0,5900.0,3700.0,7.124578061306032
2018,15 - 24 years,Female,298816,6600.0,12900.0,6300.000000000001,21.083208395802103
2018,15 - 24 years,Male,310436,5200.0,11700.0,6499.999999999999,20.938293239186173
2018,25 - 44 years,Female,716882,13800.0,23100.0,9300.0,12.97284629827503
2018,25 - 44 years,Male,685886,12900.0,22500.0,9600.0,13.996495044365973
2018,45 - 64 years,Female,595150,3500.0,4700.0,1200.0000000000002,2.0162984121650007
2018,45 - 64 years,Male,586869,3100.0,4800.0,1699.9999999999998,2.8967282306613567
2018,65 years and over,Female,359441,800.0,2200.0,1400.0000000000002,3.8949368602913976
2018,65 years and over,Male,316986,700.0,2400.0,1700.0,5.363012877540333
2019,0 - 14 years,Female,494709,2900.0,4800.0,1900.0,3.8406416701535653
2019,0 - 14 years,Male,520830,2500.0,6300.0,3800.0,7.296046694698846
2019,15 - 24 years,Female,306870,8700.0,12500.0,3800.000000000001,12.38309381822922
2019,15 - 24 years,Male,316935,8500.0,9700.0,1199.9999999999993,3.786265322542475
2019,25 - 44 years,Female,717936,12000.0,23100.0,11100.000000000002,15.460988166076087
2019,25 - 44 years,Male,688076,13900.0,25800.0,11900.0,17.294601177776872
2019,45 - 64 years,Female,610349,1900.0,5300.0,3400.0,5.570583387537295
2019,45 - 64 years,Male,601394,1600.0,5500.0,3900.0,6.48493333821089
2019,65 years and over,Female,372301,800.0,2500.0,1700.0,4.566197780827878
2019,65 years and over,Male,329071,500.0,1800.0,1300.0,3.9505152383528173
2020,0 - 14 years,Female,493708,3800.0,5100.0,1299.9999999999998,2.6331353755661238
2020,0 - 14 years,Male,519943,2900.0,5500.0,2600.0,5.000548137007326
2020,15 - 24 years,Female,313113,8800.0,12200.0,3399.9999999999986,10.858699574913846
2020,15 - 24 years,Male,324810,6600.0,9800.0,3200.000000000001,9.851913426310768
2020,25 - 44 years,Female,721104,12000.0,25100.0,13100.000000000002,18.166589007965566
2020,25 - 44 years,Male,690911,14000.0,25900.0,11899.999999999998,17.223636618898816
2020,45 - 64 years,Female,625971,700.0,5100.0,4399.999999999999,7.029079621899415
2020,45 - 64 years,Male,614200,1800.0,4200.0,2400.0000000000005,3.907521979811137
2020,65 years and over,Female,384201,300.0,1100.0,800.0,2.0822434090489095
2020,65 years and over,Male,341914,200.0,1500.0,1300.0,3.8021256807267325
2021,0 - 14 years,Female,491918,2000.0,4200.0,2200.0,4.472290097130009
2021,0 - 14 years,Male,515684,2700.0,3300.0,599.9999999999997,1.1635032306606363
2021,15 - 24 years,Female,314449,10200.0,7700.0,-2499.999999999999,-7.9504148526470075
2021,15 - 24 years,Male,325906,8900.0,6000.0,-2900.0000000000005,-8.898271280676026
2021,25 - 44 years,Female,721550,9500.0,21200.0,11700.0,16.215092509181623
2021,25 - 44 years,Male,690353,10300.0,18100.0,7800.000000000001,11.29856754443017
2021,45 - 64 years,Female,637772,3500.0,3200.0,-299.99999999999983,-0.4703875366118297
2021,45 - 64 years,Male,629587,2100.0,7100.0,5000.0,7.941714171353603
2021,65 years and over,Female,394956,1800.0,1600.0,-199.99999999999994,-0.5063855214251713
